typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,M,20231101,2023,11,202311,76,,,M,,32,,,0,,,H6,HS,true,01,,,,C00,,0,0,,-1,,0,false,-1,,0,false,0,false,0,false,22470,20870,22470,0,false,true
C,M,20231101,2023,11,202311,76,,,M,,32,,,0,,,H6,HS,true,01,,,,C00,,0,3200,,-1,,0,false,-1,,0,false,0,false,0,false,22470,20870,22470,0,false,true
